Número de secuencias;Método;Tiempo de ejecución (segundos)
500;CNN(5);9.9
1000;CNN(5);17.4
2000;CNN(5);31.9
5000;CNN(5);78
10000;CNN(5);148
20000;CNN(5);296
500;CNN(10);10
1000;CNN(10);17.7
2000;CNN(10);33.3
5000;CNN(10);75
10000;CNN(10);155
20000;CNN(10);311
500;CNN(16);10.3
1000;CNN(16);18.1
2000;CNN(16);35.4
5000;CNN(16);81
10000;CNN(16);169
20000;CNN(16);333
500;STREME(5);22
1000;STREME(5);54.3
2000;STREME(5);106.5
5000;STREME(5);279.9
10000;STREME(5);259
20000;STREME(5);260.9
500;STREME(10);46.2
1000;STREME(10);112.2
2000;STREME(10);224.4
5000;STREME(10);570.4
10000;STREME(10);521.2
20000;STREME(10);591
500;ProSampler(5);5.8
1000;ProSampler(5);12.6
2000;ProSampler(5);25.9
5000;ProSampler(5);69.7
10000;ProSampler(5);170.9
20000;ProSampler(5);352.6
500;ProSampler(10);5.7
1000;ProSampler(10);12.8
2000;ProSampler(10);26.4
5000;ProSampler(10);69.7
10000;ProSampler(10);176.5
20000;ProSampler(10);362.7
